id,f_id,Lithology,Porosity,Permeability,,,Casing diameter Inches,Volume per 20 mm3,65% HTH(dry weight)g,25% Chloride of lime (dry weight)*,"5.25% Sodium hypochlorite (Jick,eau de javelle)(liquid measure)",,,"Expected pumping rate, litres/sec",Borehole diameter,Collapse strength,,,,,Connection ,OD (inch) ,ID (inch) ,Unit Weight (kg/m),,,,,,,holedimater,Bit_Size,Connection,nom_diameter,OD (mm) ,klogram,Threads / inch ,Unit Weight (kg / m),,,,Thread Type ,Thread per inch ,Thread Angle ,Pin diameter at base ,Box diameter at counterbore,
0,0,Clay,42,10-8 - 10-2,,,2,0.04,3.74,9.31,0.04,,,0.3,6,100,,,,,NC23-31 ,"3-1/8"" ","1-1/4""",,,,,,,,2,3-1/2” – 4-1/2” ,2-3/8” Reg. Pin,2.6,60,47,4,11,,,,2/3/2008,REG ,5,60° ,66.68,68.26
1,1,Silt/Fine sand,43-46,10-2 -5.0,,,4,0.16,12.98,37.18,0.2,,,0.5,6,180,,,,,NC26-35 (2-3/8 IF) ,3/1/2002,"1-1/2"" ",39.7,,,,,,,4,4-3/2-4” – 5-1/8” ,2-7/8” Reg. Pin,2.7,73,54.6,4,17,,,,FH ,- ,- ,- ,-,
2,2,Medium sand,39,5-20.0,,,6,0.36,37.18,74.1,0.39,,,0.8,6,300,,,,,NC31-41 (2-7/8 IF) ,"4-1/8"" ","2"" ",51.6,,,,,,,5,5-3/8” – 7-3/8” ,3-1/2” Reg. Pn,3.5,88.9,70.3,4,21,,,,IF ,4,60° ,73.05,74.61,
3,3,Coarse sand,30,20-100,,,8,0.65,55.8,129.84,0.66,,,1,6,400,,,,,NC35-47 ,"4-3/4"" ","2"" ",73.8,,,,,,,7,7-7/8” – 9” ,4-1/2” Reg. Pin,4.5,114.3,97.1,4,27,,,,2/7/2008,REG ,5,60° ,76.2,77.79
4,4,Gravel,28-34,100-1000,,,10,1.01,74.1,204.59,1.11,,,1.5,6,500,,,,,NC38-50(3-1/2 IF) ,"5"" ","2-1/4"" ",79.3,,,,,,,8,9-5/8” – 15” ,6-5/8” Reg. Pin,5.5,139.7,121.4,,32.7,,,,FH ,- ,- ,- ,-,
5,5,Sandstone,33-37,10-3-1.0 ,,,12,1.46,111.48,297.7,1.57,,,2,6,750,,,,,NC44-60 ,"6"" ","2-1/4"" ",122.9,,,,,,,,,,,,,,,,,,IF ,4,60° ,86.13,87.71,
6,6,"Carbonate (limestone, dolomite)",26-30,10-2-1.0,,,16,2.59,204.59,520.66,2.49,,,2.8,6,"1,000",,,,,NC44-60 ,"6"" ","2-13/16"" ",113,,,,,,,,,,,,,,,,,,3/1/2002,REG ,5,60° ,88.9,90.49
7,7,Fractured/Weathered rock ,30-50 ,0-300,,,20,4.05,316.07,799.34,4.2,,,4.2,6,"1,500",,,,,NC44-62 ,"6-1/4"" ","2-1/4"" ",134.7,,,,,,,,,,,,,,,,,,FH ,5,60° ,101.45,102.79,
8,8,"Volcanics, (e.g. basalt, rhyolite) ",17-41 ,0-1000,,,24,5.84,445.9,"1,171.15",5.7,,,5.6,8,"2,000",,,,,NC46-62(4IF) ,"6-1/4"" ","2-13/16"" ",124.7,,,,,,,,,,,,,,,,,,IF ,4,60° ,102.01,103.58,
9,9,"Igneous rocks (e.g. granite, gabbro) ",43-45 ,<10-5,,,,,,,,,,7,8,"2,500",,,,,NC46-65(4IF) ,"6-1/2"" ","2-1/4"" ",148,,,,,,,,,,,,,,,,,,4/1/2002,REG ,5,60° ,117.48,119.06
,,,,,,,,,,,,,,8.3,8,"3,000",,,,,NC46-65(4IF) ,"6-1/2"" ","2-1/4"" ",138.1,,,,,,,,,,,,,,,,,,FH ,5,60° ,121.72,123.83,
,,,,,,,,,,,,,,11,10,"4,000",,,,,NC46-67 (4 IF) ,"6-3/4"" ","2-13/16"" ",160.7,,,,,,,,,,,,,,,,,,IF ,4,60° ,133.35,134.94,
,,,,,,,,,,,,,,,,,,,,,NC50-70 (4 1/2 IF) ,"7"" ","2-13/16"" ",174.1,,,,,,,,,,,,,,,,,,6/5/2008,REG ,4,60° ,152.2,153.99
,,,,,,,,,,,,,,,,,,,,,NC50-70 (4 1/2 IF) ,"7"" ","2-13/16"" ",165.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC50-72 (4 1/2 IF) ,"7-1/4"" ","2-13/16"" ",178.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC56-77 ,"7-3/4"" ","2-13/16"" ",208.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC 56-80 ,"8"" ","2-13/16"" ",224.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6-5/8REG ,"8-1/4"" ","2-13/16"" ",241.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC61-90 ,"9"" ","2-13/16"" ",291.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7-5/8R E G ,"9-1/2"" ","3"" ",322.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC70-97 ,"9-3/4"" ","3"" ",342.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC70-100 ,"10"" ","3"" ",361.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NC77-110 ,"11"" ","3"" ",445,,,,,,,,,,,,,,,,,,,,,,,
